,Market Cap,Sector
TTWO,25671034880,Communication Services
OMC,16309487616,Communication Services
T,103303053312,Communication Services
META,834117369856,Communication Services
TMUS,169028501504,Communication Services
NWS,11135660032,Communication Services
IPG,12854898688,Communication Services
CHTR,59748159488,Communication Services
GOOG,1686327394304,Communication Services
PARA,10087660544,Communication Services
DIS,157385342976,Communication Services
EA,37511327744,Communication Services
GOOGL,1685529296896,Communication Services
NFLX,189276667904,Communication Services
ATVI,72743288832,Communication Services
NWSA,11131425792,Communication Services
WBD,31157848064,Communication Services
VZ,143062122496,Communication Services
FOX,16236207104,Communication Services
FOXA,16306448384,Communication Services
MCD,214669541376,Consumer Cyclical
APTV,29531138048,Consumer Cyclical
WYNN,12401705984,Consumer Cyclical
MHK,6817538048,Consumer Cyclical
MGM,18517370880,Consumer Cyclical
TJX,99811500032,Consumer Cyclical
NKE,166947848192,Consumer Cyclical
PHM,18613323776,Consumer Cyclical
TSLA,844481560576,Consumer Cyclical
GRMN,20026150912,Technology
CCL,24149233664,Consumer Cyclical
AZO,44986392576,Consumer Cyclical
GPC,21954672640,Consumer Cyclical
VFC,7653837824,Consumer Cyclical
POOL,15023460352,Industrials
ROST,39042584576,Consumer Cyclical
HD,333152747520,Consumer Cyclical
RCL,27765364736,Consumer Cyclical
RL,8333341696,Consumer Cyclical
NCLH,9136514048,Consumer Cyclical
PM,155002683392,Consumer Defensive
BG,16320966656,Consumer Defensive
KR,34825035776,Consumer Defensive
TAP,15248253952,Consumer Defensive
MNST,60866187264,Consumer Defensive
KHC,44376997888,Consumer Defensive
WBA,25725177856,Healthcare
KDP,47616212992,Consumer Defensive
MKC,24059887616,Consumer Defensive
PG,368653697024,Consumer Defensive
HRL,22418839552,Consumer Defensive
PEP,261976932352,Consumer Defensive
TSN,20038680576,Consumer Defensive
SJM,15417287680,Consumer Defensive
MDLZ,102193225728,Consumer Defensive
CPB,13786755072,Consumer Defensive
EL,64491601920,Consumer Defensive
STZ,49955790848,Consumer Defensive
TGT,62310600704,Consumer Defensive
TRGP,18223912960,Energy
PSX,50635423744,Energy
COP,140282265600,Energy
MRO,16119463936,Energy
SLB,81221009408,Energy
OKE,30092646400,Energy
HAL,34427760640,Energy
CTRA,20761786368,Energy
CVX,296999518208,Energy
PXD,52216619008,Energy
FANG,26374531072,Energy
EOG,76441067520,Energy
BKR,36009742336,Energy
MPC,56686899200,Energy
APA,12390250496,Energy
OXY,55359533056,Energy
WMB,41491550208,Energy
VLO,46661001216,Energy
XOM,421116837888,Energy
EQT,15290265600,Energy
CINF,17238405120,Financial Services
PNC,53929000960,Financial Services
WRB,16063909888,Financial Services
V,493754810368,Financial Services
NTRS,16572739584,Financial Services
FDS,16726845440,Financial Services
JKHY,12259082240,Technology
PYPL,82540224512,Financial Services
GPN,28524060672,Industrials
RJF,23136444416,Financial Services
JPM,455996145664,Financial Services
BEN,14780467200,Financial Services
AXP,121832407040,Financial Services
MCO,64859910144,Financial Services
HIG,22411376640,Financial Services
IVZ,7730919424,Financial Services
COF,43803791360,Financial Services
PFG,19300614144,Financial Services
GS,117430607872,Financial Services
TFC,43968659456,Financial Services
RMD,32790593536,Healthcare
TFX,11851899904,Healthcare
MOH,17575116800,Healthcare
A,37232144384,Healthcare
STE,22693675008,Healthcare
